Matchday,Game ID,Home team,Away team,Home score,Away score
1,1,Die Eulen Ludwigshafen,FRISCH AUF! Göppingen,25,32
1,2,TVB 1898 Stuttgart,MT Melsungen,29,27
1,3,SG Flensburg-Handewitt,TuS N-Lübbecke,37,23
1,4,VfL Gummersbach,HSG Wetzlar,22,33
1,5,SC Magdeburg,TV 05/07 Hüttenberg,33,26
1,6,TSV GWD Minden,SC DHfK Leipzig,26,29
1,7,TBV Lemgo,Rhein-Neckar Löwen,24,26
1,8,TuS N-Lübbecke,THW Kiel,21,33
1,9,SC DHfK Leipzig,TV 05/07 Hüttenberg,26,25
2,10,SC Magdeburg,Die Eulen Ludwigshafen,30,26
2,11,HSG Wetzlar,TSV GWD Minden,24,24
2,12,TSV Hannover-Burgdorf,SG Flensburg-Handewitt,32,29
2,13,HC Erlangen,TBV Lemgo,24,28
2,14,MT Melsungen,VfL Gummersbach,25,23
2,15,THW Kiel,SC Magdeburg,34,32
2,16,TV 05/07 Hüttenberg,MT Melsungen,27,28
2,17,TVB 1898 Stuttgart,HC Erlangen,29,31
2,18,VfL Gummersbach,FRISCH AUF! Göppingen,28,27
3,19,TBV Lemgo,SC DHfK Leipzig,33,29
3,20,SG Flensburg-Handewitt,Rhein-Neckar Löwen,27,22
3,21,TSV Hannover-Burgdorf,HSG Wetzlar,30,27
3,22,TSV GWD Minden,TuS N-Lübbecke,21,18
3,23,Füchse Berlin,Die Eulen Ludwigshafen,31,24
3,24,THW Kiel,TSV Hannover-Burgdorf,29,31
3,25,Rhein-Neckar Löwen,TSV GWD Minden,37,22
3,26,HSG Wetzlar,TV 05/07 Hüttenberg,23,23
3,27,SC Magdeburg,Füchse Berlin,26,30
4,28,HC Erlangen,VfL Gummersbach,25,22
4,29,TuS N-Lübbecke,TSV Hannover-Burgdorf,21,25
4,30,Die Eulen Ludwigshafen,TBV Lemgo,24,20
4,31,SC Magdeburg,TVB 1898 Stuttgart,34,26
4,32,MT Melsungen,THW Kiel,29,25
4,33,SC DHfK Leipzig,SG Flensburg-Handewitt,25,22
4,34,TuS N-Lübbecke,HSG Wetzlar,17,23
4,35,SG Flensburg-Handewitt,HC Erlangen,29,21
4,36,THW Kiel,SC DHfK Leipzig,29,26
5,37,TSV GWD Minden,FRISCH AUF! Göppingen,26,26
5,38,VfL Gummersbach,Rhein-Neckar Löwen,26,29
5,39,TV 05/07 Hüttenberg,Füchse Berlin,28,30
5,40,TVB 1898 Stuttgart,Die Eulen Ludwigshafen,25,22
5,41,TBV Lemgo,MT Melsungen,26,26
5,42,TSV Hannover-Burgdorf,SC Magdeburg,32,30
5,43,HC Erlangen,TV 05/07 Hüttenberg,26,26
5,44,Füchse Berlin,TVB 1898 Stuttgart,26,24
5,45,MT Melsungen,SG Flensburg-Handewitt,25,30
6,46,FRISCH AUF! Göppingen,TBV Lemgo,27,27
6,47,HSG Wetzlar,THW Kiel,30,22
6,48,Rhein-Neckar Löwen,TuS N-Lübbecke,36,27
6,49,FRISCH AUF! Göppingen,TVB 1898 Stuttgart,21,23
6,50,SC DHfK Leipzig,TSV Hannover-Burgdorf,25,23
6,51,SC Magdeburg,TSV GWD Minden,34,25
6,52,SG Flensburg-Handewitt,Die Eulen Ludwigshafen,32,29
6,53,TSV Hannover-Burgdorf,HC Erlangen,25,19
6,54,HSG Wetzlar,SC DHfK Leipzig,22,23
7,55,VfL Gummersbach,Füchse Berlin,29,31
7,56,TuS N-Lübbecke,SC Magdeburg,20,31
7,57,TV 05/07 Hüttenberg,FRISCH AUF! Göppingen,28,28
7,58,TBV Lemgo,TVB 1898 Stuttgart,24,21
